Binlow , -0.1
Binint , 0.004
nbins  , 100
Trials , 1000000
Integral , 990671
Overflows , 163
Underflows , 9166
bin# , bin_centre , counts , error
0,-0.098,2023,44.97777228809804
1,-0.094,2292,47.8748368143433
2,-0.09,2896,53.81449618829484
3,-0.08600000000000001,3347,57.85326265648291
4,-0.082,3873,62.23343153000644
5,-0.078,4524,67.26068688320095
6,-0.07400000000000001,5181,71.97916365171243
7,-0.07,6033,77.67238891652555
8,-0.066,6839,82.6982466561414
9,-0.062,7627,87.33269719870101
10,-0.058,8501,92.20086767487604
11,-0.054000000000000006,9656,98.26494797230598
12,-0.05,10777,103.81233067415451
13,-0.046,11974,109.42577392917995
14,-0.042,13412,115.81018953442741
15,-0.038000000000000006,14374,119.89161772200757
16,-0.034,15598,124.89195330364562
17,-0.03,16949,130.18832512940628
18,-0.025999999999999995,18333,135.3994091567611
19,-0.022000000000000006,19499,139.63881981741324
20,-0.018000000000000002,20833,144.33641259224922
21,-0.013999999999999999,21998,148.31722759005442
22,-0.010000000000000009,23173,152.22680447279973
23,-0.006000000000000005,24320,155.9487095169434
24,-0.0020000000000000018,24675,157.08278072405008
25,0.0020000000000000018,25758,160.49299050114308
26,0.006000000000000005,26687,163.36156218645806
27,0.009999999999999995,27251,165.0787690770682
28,0.013999999999999999,27539,165.9487872808958
29,0.018000000000000002,28011,167.36487086602133
30,0.021999999999999992,28681,169.3546574499798
31,0.025999999999999995,28302,168.23198269056928
32,0.03,28041,167.45447142432477
33,0.034,27864,166.92513291892266
34,0.038000000000000006,27319,165.28460303367643
35,0.04200000000000001,26741,163.52675622050356
36,0.04600000000000001,26213,161.90429271640699
37,0.04999999999999999,25358,159.24195427085164
38,0.05399999999999999,24778,157.4102919125684
39,0.057999999999999996,23943,154.73525777921463
40,0.062,22806,151.01655538383864
41,0.066,21718,147.37028194313805
42,0.07,20378,142.75153239107453
43,0.07400000000000001,19489,139.6030085635693
44,0.07799999999999999,18118,134.60312032044428
45,0.08199999999999999,16903,130.011537949522
46,0.086,15976,126.39620247459969
47,0.09,14870,121.94260945215171
48,0.094,13661,116.88028062936878
49,0.098,12727,112.81400622263178
50,0.10200000000000001,11582,107.61970079869205
51,0.10600000000000001,10581,102.86398786747479
52,0.11000000000000001,9571,97.83148777362021
53,0.11399999999999999,8979,94.75758544834287
54,0.118,8024,89.57678270623477
55,0.122,7102,84.27336471270148
56,0.126,6430,80.18728078691782
57,0.13,5917,76.92203845452875
58,0.134,5165,71.8679344353238
59,0.138,4707,68.60757975617562
60,0.142,4106,64.07807737440318
61,0.146,3725,61.032778078668514
62,0.15,3148,56.10704055642215
63,0.154,2837,53.2634959423431
64,0.158,2575,50.7444578254611
65,0.162,2249,47.4236228055175
66,0.166,1940,44.04543109109048
67,0.17,1699,41.2189276910499
68,0.17400000000000002,1511,38.87158345115362
69,0.17800000000000002,1315,36.26292872893749
70,0.18200000000000002,1190,34.49637662132068
71,0.18600000000000003,1120,33.46640106136302
72,0.19000000000000003,896,29.93325909419153
73,0.19399999999999998,821,28.653097563788805
74,0.19799999999999998,670,25.88435821108957
75,0.20199999999999999,665,25.787593916455254
76,0.206,557,23.600847442411894
77,0.21,525,22.9128784747792
78,0.214,457,21.37755832643195
79,0.218,361,19.0
80,0.222,313,17.69180601295413
81,0.226,258,16.06237840420901
82,0.23,264,16.24807680927192
83,0.234,220,14.832396974191326
84,0.23800000000000002,195,13.96424004376894
85,0.24200000000000002,159,12.609520212918492
86,0.24600000000000002,163,12.767145334803704
87,0.25,131,11.445523142259598
88,0.254,96,9.797958971132712
89,0.258,106,10.295630140987
90,0.262,83,9.1104335791443
91,0.266,64,8.0
92,0.27,66,8.12403840463596
93,0.274,62,7.874007874011811
94,0.278,56,7.483314773547883
95,0.28200000000000003,44,6.6332495807108
96,0.28600000000000003,38,6.164414002968976
97,0.29000000000000004,34,5.830951894845301
98,0.29400000000000004,34,5.830951894845301
99,0.29800000000000004,21,4.58257569495584
